SamplingHz:  1000,Column1,_1,_2,_3
Number Samples:  3800,,,,
Colors: ,Magenta,Cyan,Yellow,K (Black)
 0,.1448,.1036,.0911,0.0998
 1,.1448,.1036,.1490,0.1577
 2,.1448,.1036,.1490,0.1577
 3,.0869,.1615,.1490,0.0998
 4,.1448,.1615,.1490,0.1577
 5,.0869,.1036,.2069,0.1577
 6,.1448,.1036,.1490,0.0998
 7,.1448,.1615,.0911,0.1577
 8,.1448,.1615,.1490,0.0998
 9,.1448,.1615,.1490,0.1577
 10,.2026,.1615,.1490,0.0998
 11,.0869,.1036,.0911,0.1577
 12,.1448,.1036,.1490,0.1577
 13,.1448,.2194,.1490,0.1577
 14,.0869,.1615,.1490,0.0998
 15,.0869,.1615,.1490,0.0998
 16,.1448,.1036,.1490,0.1577
 17,.1448,.1036,.0911,0.0998
 18,.2026,.1615,.1490,0.0998
 19,.1448,.1615,.0911,0.1577
 20,.0869,.1615,.1490,0.1577
 21,.0869,.1036,.1490,0.1577
 22,.1448,.1036,.1490,0.0998
 23,.1448,.1036,.1490,0.0998
 24,.1448,.1615,.0911,0.1577
 25,.1448,.1615,.1490,0.0998
 26,.1448,.1036,.1490,0.1577
 27,.1448,.1615,.1490,0.1577
 28,.1448,.1615,.1490,0.0998
 29,.0869,.1615,.1490,0.0998
 30,.0869,.1036,.0911,0.0998
 31,.0869,.1036,.0911,0.0998
 32,.1448,.1036,.0911,0.2156
 33,.1448,.1036,.1490,0.1577
 34,.1448,.1615,.1490,0.2156
 35,.1448,.1036,.1490,0.1577
 36,.1448,.1036,.0911,0.0998
 37,.1448,.1036,.1490,0.0998
 38,.0869,.1036,.1490,0.1577
 39,.1448,.1036,.1490,0.1577
 40,.1448,.1615,.0911,0.1577
 41,.2026,.1615,.1490,0.1577
 42,.2026,.1036,.1490,0.1577
 43,.0869,.1615,.1490,0.1577
 44,.2026,.1036,.1490,0.0998
 45,.1448,.1615,.1490,0.1577
 46,.1448,.1036,.0911,0.0998
 47,.1448,.1036,.0911,0.1577
 48,.2026,.1036,.0911,0.1577
 49,.0869,.1036,.2069,0.0998
 50,.1448,.1615,.0911,0.0998
 51,.1448,.1036,.0911,0.0998
 52,.0869,.1615,.1490,0.1577
 53,.0869,.1036,.0911,0.1577
 54,.1448,.1615,.0911,0.0998
 55,.1448,.1615,.1490,0.1577
 56,.0869,.1036,.1490,0.0998
 57,.1448,.0457,.0911,0.0998
 58,.0869,.1615,.0911,0.0998
 59,.2026,.1615,.1490,0.0998
 60,.1448,.1615,.0911,0.0998
