printer_id,PumpTime,VentRateM,VentRateC,VentRateY,VentRateK,MaxPressureM,MaxPressureC,MaxPressureY,MaxPressureK,VentDelayM,VentDelayC,VentDelayY,VentDelayK,CompSlope,VentDelayAvg,MaxPressureAvg,VentRateAvg,TorqueSlewMax,TorqueMarginMin,PWMSlewMax,TimeOfMove,AvgSlewTorque
TH36936123085Z,450,-1098.35,-1095.58,-1091.51,-1097.68,103.19,103.23,103.21,103.21,-6.0000,-6.0000,-7.0000,-7.0000,254.59,-6.5000,103.21,-1095.78,2725,2613,229,39581,2181
TH36936123085Z,750,-1027.57,-1022.36,-1025.22,-1003.67,159.95,159.84,159.83,159.76,289.0000,290.0000,290.0000,287.0000,254.50,289.0000,159.85,-1019.71,3216,2138,255,69581,2459
TH36936123085Z,450,-1091.90,-1091.45,-1092.58,-1098.75,103.45,103.38,103.35,103.30,-4.0000,-6.0000,-5.0000,-6.0000,254.80,-5.2500,103.37,-1093.67,2758,2577,231,39581,2176
TH36936123085Z,750,-1018.59,-1020.02,-1020.60,-1006.61,159.99,159.88,159.86,159.80,288.0000,288.0000,288.0000,285.0000,254.71,287.2500,159.88,-1016.46,3127,2215,251,69581,2456
TH36936123085Z,450,-1094.05,-1095.58,-1091.51,-1098.75,102.29,102.16,102.31,102.43,-8.0000,-13.0000,-9.0000,-9.0000,252.77,-9.7500,102.29,-1094.97,2788,2566,231,39581,2204
TH36936123085Z,750,-1019.59,-1012.55,-1018.23,-1012.50,159.05,158.89,158.82,158.81,289.0000,289.0000,289.0000,286.0000,252.48,288.2500,158.89,-1015.72,3246,2108,256,69581,2499
TH36936123085Z,450,-1087.62,-1085.13,-1093.77,-1084.03,101.89,101.93,101.91,101.86,-8.0000,-7.0000,-7.0000,-6.0000,250.67,-7.0000,101.90,-1087.64,2707,2635,229,39581,2242
TH36936123085Z,750,-1014.08,-1014.51,-1009.81,-1005.27,157.90,157.79,157.73,157.66,289.0000,289.0000,286.0000,286.0000,250.43,287.5000,157.77,-1010.92,3252,2083,257,69581,2505
TH36936123085Z,450,-1086.78,-1082.72,-1087.46,-1086.96,97.92,97.92,97.92,97.85,-9.0000,-9.0000,-10.0000,-10.0000,238.47,-9.5000,97.90,-1085.98,2892,2456,236,39581,2271
TH36936123085Z,750,-1014.08,-1008.21,-1010.79,-996.80,151.56,151.46,151.42,151.45,288.0000,287.0000,284.0000,293.0000,238.32,288.0000,151.47,-1007.47,3243,2115,255,69581,2500
TH36936123085Z,450,-1075.21,-1080.92,-1076.93,-1087.19,97.59,97.53,97.48,97.46,-8.0000,-8.0000,-10.0000,-10.0000,237.22,-9.0000,97.51,-1080.06,2781,2577,230,39581,2195
TH36936123085Z,750,-1012.12,-1006.28,-1005.88,-1002.38,151.05,150.96,150.92,150.83,288.0000,287.0000,287.0000,285.0000,237.07,286.7500,150.94,-1006.67,3209,2154,254,69581,2479
